Município;Qtd_aprovada;Valor_aprovado;Qtd_apresentada;Valor_apresentado;Qtd_Recusa_Pgto;Perda_Repasse
220050 Amarante;5446;28842,79;5496;29160,29;50;317,5
220060 Angical do Piauí;1984;10964,2;1984;10964,2;0;0
220090 Aroazes;246;9021,2;597;12654,76;351;3633,56
220095 Aroeiras do Itaim;20;3000;20;3000;0;0
220100 Arraial;1776;2201,28;2152;4271,25;376;2069,97
220110 Avelino Lopes;1086;3056,23;1388;5069,87;302;2013,64
220115 Baixa Grande do Ribeiro;178;-;178;-;0;0
220117 Barra D'Alcântara;22;3300;22;3300;0;0
220120 Barras;19092;95410,9;19136;95440,66;44;29,76
220140 Barro Duro;2628;8322,95;3405;16092,95;777;7770
220150 Batalha;9227;42193,91;9227;42193,91;0;0
220157 Belém do Piauí;65;3000;65;3000;0;0
220160 Beneditinos;4725;27410,05;6316;47242,5;1591;19832,45
220170 Bertolínia;42;-;42;-;0;0
220173 Betânia do Piauí;30;4500;30;4500;0;0
220177 Boa Hora;30;3600;30;3600;0;0
220180 Bocaina;1249;8018,15;2018;13032,69;769;5014,54
220190 Bom Jesus;12701;168840;13067;170918,42;366;2078,42
220191 Bom Princípio do Piauí;237;3300;237;3300;0;0
220192 Bonfim do Piauí;23;3450;23;3450;0;0
220194 Boqueirão do Piauí;28;4200;28;4200;0;0
220196 Brasileira;864;86,31;864;86,31;0;0
220205 Cabeceiras do Piauí;8712;2994,38;8718;3022,4;6;28,02
220207 Cajazeiras do Piauí;26;3300;26;3300;0;0
220209 Caldeirão Grande do Piauí;1513;3000;1513;3000;0;0
220211 Campo Alegre do Fidalgo;3149;3150;3149;3150;0;0
220213 Campo Grande do Piauí;2070;3600;2070;3600;0;0
220220 Campo Maior;35874;736161,6;35883;736184,1;9;22,5
220230 Canto do Buriti;8883;77048,52;9228;80498,52;345;3450
220240 Capitão de Campos;281;2008,4;370;2396,42;89;388,02
220245 Capitão Gervásio Oliveira;66;9900;66;9900;0;0
220250 Caracol;1449;3997,28;2016;5515,01;567;1517,73
220253 Caraúbas do Piauí;124;-;124;-;0;0
220255 Caridade do Piauí;40;6000;40;6000;0;0
220260 Castelo do Piauí;6977;41781,58;8028;44275,89;1051;2494,31
220265 Caxingó;26;3900;26;3900;0;0
220270 Cocal;3790;24579,88;4598;29282,58;808;4702,7
220271 Cocal de Telha;724;-;724;-;0;0
220273 Coivaras;40;3300;40;3300;0;0
220277 Colônia do Piauí;46;6900;46;6900;0;0
220280 Conceição do Canindé;1194;-;1194;-;0;0
220290 Corrente;8443;30192,26;11201;43545,86;2758;13353,6
220300 Cristalândia do Piauí;58;3000;58;3000;0;0
220310 Cristino Castro;1159;13514,45;1491;16896,2;332;3381,75
220320 Curimatá;5791;32661,42;6252;36723,32;461;4061,9
220323 Currais;27;-;27;-;0;0
220327 Curral Novo do Piauí;20;3000;20;3000;0;0
220325 Curralinhos;68;3300;68;3300;0;0
220330 Demerval Lobão;7270;38525,01;7270;38525,01;0;0
220340 Dom Expedito Lopes;34;3000;34;3000;0;0
220345 Dom Inocêncio;46;3300;46;3300;0;0
220350 Elesbão Veloso;3593;25730,9;3593;25730,9;0;0
220370 Esperantina;24841;174313,82;25355;182761,58;514;8447,76
220380 Flores do Piauí;174;3450;174;3450;0;0
220385 Floresta do Piauí;21;3150;21;3150;0;0
220390 Floriano;78823;1184480,19;91531;1279168,02;12708;94687,83
220400 Francinópolis;1012;3120,58;1379;5073,85;367;1953,27
220410 Francisco Ayres;114;-;114;-;0;0
220415 Francisco Macedo;27;3150;27;3150;0;0
220420 Francisco Santos;3733;25751,91;5318;42262,17;1585;16510,26
220430 Fronteiras;3899;39507,12;7936;83764,65;4037;44257,53
220435 Geminiano;74;-;74;-;0;0
220440 Gilbués;1403;989,6;1403;989,6;0;0
220450 Guadalupe;4396;23445,08;4442;23512,76;46;67,68
220455 Guaribas;78;11700;78;11700;0;0
220460 Hugo Napoleão;21;3150;21;3150;0;0
220465 Ilha Grande;780;4852,2;780;4852,2;0;0
220470 Inhuma;3446;12671,57;5284;23773,6;1838;11102,03
220480 Ipiranga do Piauí;401;4500;401;4500;0;0
220490 Isaías Coelho;775;8874,64;1522;14823,87;747;5949,23
220510 Itaueira;7609;28167,12;7960;34887,77;351;6720,65
220515 Jacobina do Piauí;20;3000;20;3000;0;0
220520 Jaicós;8755;49043,39;8755;49043,39;0;0
220525 Jardim do Mulato;72;6300;72;6300;0;0
220530 Jerumenha;213;-;213;-;0;0
220535 João Costa;42;6300;42;6300;0;0
220540 Joaquim Pires;1469;4986,12;1533;5756,48;64;770,36
220545 Joca Marques;61;-;61;-;0;0
220550 José de Freitas;18369;155796,29;24103;208812,23;5734;53015,94
220552 Júlio Borges;26;3300;26;3300;0;0
220555 Lagoa Alegre;8;-;8;-;0;0
220557 Lagoa de São Francisco;62;3300;62;3300;0;0
220556 Lagoa do Barro do Piauí;275;3450;275;3450;0;0
220559 Lagoa do Sítio;22;3300;22;3300;0;0
220560 Landri Sales;7437;-;7437;-;0;0
220570 Luís Correia;5456;43336,71;5599;44093,2;143;756,49
220580 Luzilândia;7093;18545,92;7093;18545,92;0;0
220585 Madeiro;13919;3000;13919;3000;0;0
220590 Manoel Emídio;11;-;11;-;0;0
220595 Marcolândia;21;3150;21;3150;0;0
220605 Massapê do Piauí;18;2700;18;2700;0;0
220610 Matias Olímpio;66;9900;66;9900;0;0
220620 Miguel Alves;5231;34433,21;6131;43461,61;900;9028,4
220630 Miguel Leão;46;-;46;-;0;0
220635 Milton Brandão;61;3600;61;3600;0;0
220650 Monsenhor Hipólito;2189;3000;2189;3000;0;0
220660 Monte Alegre do Piauí;1439;3054,01;1439;3054,01;0;0
220669 Murici dos Portelas;6436;-;6436;-;0;0
220675 Nossa Senhora de Nazaré;3641;3150;3641;3150;0;0
220795 Nova Santa Rita;2180;-;2180;-;0;0
220690 Novo Oriente do Piauí;20;3000;20;3000;0;0
220700 Oeiras;57960;287265,07;64509;325270,87;6549;38005,8
220720 Padre Marcos;1932;8092,64;3369;17229,47;1437;9136,83
220730 Paes Landim;206;3000;206;3000;0;0
220750 Palmeirais;3407;18641,85;3997;25157,45;590;6515,6
220755 Paquetá;100;12000;100;12000;0;0
220760 Parnaguá;1974;9103,08;3932;26949,79;1958;17846,71
220770 Parnaíba;97611;1419178,52;99047;1436257,79;1436;17079,27
220775 Passagem Franca do Piauí;268;-;268;-;0;0
220777 Patos do Piauí;24;3600;24;3600;0;0
220779 Pau D'Arco do Piauí;20;3000;20;3000;0;0
220780 Paulistana;11986;51819,79;12078;52686,95;92;867,16
220790 Pedro II;12774;104961,53;13835;121137,03;1061;16175,5
220800 Picos;110674;1609088,19;121778;1628718,91;11104;19630,72
220810 Pimenteiras;1365;14357,89;2176;21911;811;7553,11
220820 Pio IX;2034;10413,16;2034;10413,16;0;0
220830 Piracuruca;17764;91678,54;18196;91678,54;432;0
220840 Piripiri;33636;172821,98;35580;189174,64;1944;16352,66
220850 Porto;1530;8749,19;1782;10391,72;252;1642,53
220860 Prata do Piauí;20;3000;20;3000;0;0
