Município;Qtd_aprovada;Valor_aprovado;Qtd_apresentada;Valor_apresentado;Qtd_Recusa_Pgto;Perda_Repasse
412610 São Tomé;4913;8575,8;4939;8644,84;26;69,04
412620 Sapopema;3148;11732,88;3148;11732,88;0;0
412625 Sarandi;11471;141076,81;11744;145195,06;273;4118,25
412627 Saudade do Iguaçu;3949;9394,33;4205;11118,17;256;1723,84
412630 Sengés;3363;24263,31;3443;25626,9;80;1363,59
412635 Serranópolis do Iguaçu;3525;240;3525;240;0;0
412640 Sertaneja;10027;29574,31;10369;35205,34;342;5631,03
412650 Sertanópolis;13737;26671,66;14147;30750,6;410;4078,94
412660 Siqueira Campos;12802;49464,46;16750;85785,04;3948;36320,58
412665 Sulina;1744;246,57;1748;268,61;4;22,04
412667 Tamarana;4661;21411,1;7921;35211,68;3260;13800,58
412670 Tamboara;6948;14572,8;7566;16744,29;618;2171,49
412680 Tapejara;31361;14451,86;31450;14706,47;89;254,61
412690 Tapira;4587;14136;4771;16720,14;184;2584,14
412700 Teixeira Soares;474;1770,53;784;3936,29;310;2165,76
412710 Telêmaco Borba;127515;350576,61;127643;351415,06;128;838,45
412720 Terra Boa;20531;78753,69;21075;80792,16;544;2038,47
412730 Terra Rica;2360;24499,96;4147;32073,32;1787;7573,36
412740 Terra Roxa;3247;36019,82;3763;44298,35;516;8278,53
412750 Tibagi;1335;5784,66;1832;11094,9;497;5310,24
412760 Tijucas do Sul;16602;25784,96;18596;45520,54;1994;19735,58
412770 Toledo;508057;1349953,19;555305;1356739,7;47248;6786,51
412780 Tomazina;2235;31191,71;2746;37330,19;511;6138,48
412785 Três Barras do Paraná;2937;22462,14;2956;22498,13;19;35,99
412788 Tunas do Paraná;3695;28243,32;3919;30192,75;224;1949,43
412790 Tuneiras do Oeste;12842;797,67;12851;806,67;9;9
412795 Tupãssi;1778;6038,24;2332;12132,24;554;6094
412796 Turvo;10659;17027,28;10917;20902,28;258;3875
412800 Ubiratã;33221;58000,16;33227;58900,16;6;900
412810 Umuarama;358190;2097418,58;385473;2230001,42;27283;132582,84
412820 União da Vitória;120156;458304,06;134154;503157,81;13998;44853,75
412830 Uniflor;1918;1550,87;1918;1550,87;0;0
412840 Uraí;8846;14003,28;9123;16537,39;277;2534,11
412853 Ventania;1349;16909,2;1450;18376,75;101;1467,55
412855 Vera Cruz do Oeste;1688;11183,96;2259;17657,53;571;6473,57
412860 Verê;4307;8375,39;4307;8375,39;0;0
412865 Virmond;884;4421,06;884;4421,06;0;0
412870 Vitorino;7475;8246,16;8880;15398,89;1405;7152,73
412850 Wenceslau Braz;11172;34452,75;12538;46664,56;1366;12211,81
420005 Abdon Batista;40;972;60;1620;20;648
420010 Abelardo Luz;17895;56885,77;21337;83891,92;3442;27006,15
420020 Agrolândia;442;5260,23;1658;13897,98;1216;8637,75
420040 Água Doce;1870;13487,42;1912;13949,42;42;462
420055 Águas Frias;1067;11154,06;1067;11154,06;0;0
420070 Alfredo Wagner;17319;31965,04;17324;32020,04;5;55
420075 Alto Bela Vista;1700;317,33;1705;340,68;5;23,35
420080 Anchieta;6791;27857,51;7183;28937,83;392;1080,32
420090 Angelina;4858;21980,62;5640;26585,11;782;4604,49
420100 Anita Garibaldi;4360;31517,21;6122;41816,98;1762;10299,77
420110 Anitápolis;1371;4804,53;1805;10374,31;434;5569,78
420120 Antônio Carlos;5042;25570,28;5285;26776,35;243;1206,07
420125 Apiúna;3766;7894,09;5434;18644,52;1668;10750,43
420127 Arabutã;5197;15039,81;5433;16473,02;236;1433,21
420130 Araquari;19545;30879,16;21307;44620,56;1762;13741,4
420140 Araranguá;29636;380621,8;54522;514408,75;24886;133786,95
420150 Armazém;328;3437,15;1068;11481,38;740;8044,23
420160 Arroio Trinta;645;-;645;-;0;0
420180 Atalanta;5;-;5;-;0;0
420205 Balneário Barra do Sul;14908;23312,63;16354;34704,63;1446;11392
420200 Balneário Camboriú;15764;-;15764;-;0;0
421280 Balneário Piçarras;14027;57777,38;19793;88093,32;5766;30315,94
420208 Bandeirante;1581;9586,64;2083;11162,83;502;1576,19
420209 Barra Bonita;392;1553,99;392;1553,99;0;0
420210 Barra Velha;29438;126339,97;29451;126358,97;13;19
420215 Belmonte;2058;5457,36;2088;5619,51;30;162,15
420230 Biguaçu;101367;341479,07;101367;341479,07;0;0
420240 Blumenau;406189;3072404,77;406306;3069164,77;117;-3240
420253 Bom Jesus;3695;1197,9;3925;2515,95;230;1318,05
420260 Bom Retiro;477;5764,38;725;8492,38;248;2728
420245 Bombinhas;36192;111391,27;36192;111391,27;0;0
420270 Botuverá;53;-;53;-;0;0
420280 Braço do Norte;7148;49404,62;10962;61120,66;3814;11716,04
420285 Braço do Trombudo;2735;12117,03;2811;12608,52;76;491,49
420287 Brunópolis;16;-;16;-;0;0
420290 Brusque;52112;660276,58;56222;690527,93;4110;30251,35
420300 Caçador;34935;467045,81;35420;471368,13;485;4322,32
420310 Caibi;964;3798,29;971;3828,95;7;30,66
420315 Calmon;2491;941,53;2491;941,53;0;0
420330 Campo Alegre;5083;22410,77;5641;27199,91;558;4789,14
420340 Campo Belo do Sul;416;4810,57;599;6823,57;183;2013
420350 Campo Erê;7076;30576,39;7076;30576,39;0;0
420360 Campos Novos;2497;28742,95;4290;47625,98;1793;18883,03
420370 Canelinha;3254;22493,44;3547;24830,93;293;2337,49
420380 Canoinhas;45180;308068,29;51491;333525,27;6311;25456,98
420325 Capão Alto;66;-;66;-;0;0
420390 Capinzal;7377;31614;7654;33295,8;277;1681,8
420395 Capivari de Baixo;22163;4432,3;23692;6259,3;1529;1827
420400 Catanduvas;7759;17713,49;9646;37224,29;1887;19510,8
420410 Caxambu do Sul;1705;12547,78;2267;14094,39;562;1546,61
420415 Celso Ramos;2172;259,2;2172;259,2;0;0
420420 Chapecó;440333;2892484,32;441404;2892484,32;1071;0
420425 Cocal do Sul;14236;90983,26;14236;90983,26;0;0
420430 Concórdia;82705;614085,89;82705;614085,89;0;0
420435 Cordilheira Alta;5104;-;5104;-;0;0
420440 Coronel Freitas;3873;12771,28;4567;20412,63;694;7641,35
420445 Coronel Martins;4011;10599,49;4016;10631,24;5;31,75
420460 Criciúma;200868;2899267,31;200868;2899267,31;0;0
420470 Cunha Porã;541;6607,51;814;9610,51;273;3003
420475 Cunhataí;629;3088,8;629;3088,8;0;0
420480 Curitibanos;38424;271211,97;39787;282720,69;1363;11508,72
420490 Descanso;818;6262,64;818;6262,64;0;0
420500 Dionísio Cerqueira;30447;43628,83;33809;59654,89;3362;16026,06
420510 Dona Emma;5258;3781,36;5609;4945,71;351;1164,35
420515 Doutor Pedrinho;2350;741,32;2350;741,32;0;0
420517 Entre Rios;83;3148,88;83;3148,88;0;0
420520 Erval Velho;369;2343,94;369;2343,94;0;0
420530 Faxinal dos Guedes;11420;29933,2;12404;40392,93;984;10459,73
420535 Flor do Sertão;1198;4836,11;1347;5593,93;149;757,82
420540 Florianópolis;5286174;12145815,16;5286258;12151461,84;84;5646,68
420543 Formosa do Sul;3070;2053,1;3070;2053,1;0;0
420545 Forquilhinha;43116;25603,79;43902;26047,3;786;443,51
420550 Fraiburgo;82480;117954,04;85286;129245,2;2806;11291,16
420555 Frei Rogério;29;-;29;-;0;0
420560 Galvão;4606;11816,28;4706;12071,28;100;255
420590 Gaspar;34049;165102,4;34049;165102,4;0;0
420600 Governador Celso Ramos;4362;20636,92;4362;20636,92;0;0
420610 Grão Pará;1601;11323,58;1604;11379,23;3;55,65
420620 Gravatal;2220;13945,24;2241;14135,67;21;190,43
420630 Guabiruba;8485;33074,64;8485;33074,64;0;0
420640 Guaraciaba;12990;23382,75;14631;31688,87;1641;8306,12
420650 Guaramirim;14093;25656,27;33817;107757,9;19724;82101,63
420660 Guarujá do Sul;4969;30198,81;5176;32430,5;207;2231,69
420665 Guatambú;2994;214,2;2994;214,2;0;0
420670 Herval d'Oeste;2927;9393,57;3566;11461,71;639;2068,14
420675 Ibiam;1454;105,6;1454;105,6;0;0
420690 Ibirama;22584;126616,94;38627;232638,73;16043;106021,79
420700 Içara;8339;67710,18;13290;70371,92;4951;2661,74
420710 Ilhota;1175;9009,53;1205;9149,63;30;140,1
420720 Imaruí;1212;13293,54;1467;16004,94;255;2711,4
420730 Imbituba;25288;157429,95;29121;172180,42;3833;14750,47
420750 Indaial;41638;233946,79;41638;233946,79;0;0
420757 Iomerê;2899;5941,44;2907;5982,64;8;41,2
420760 Ipira;446;5068,85;840;6390,26;394;1321,41
420765 Iporã do Oeste;4319;505487,39;4319;505487,39;0;0
420768 Ipuaçu;6545;6612,71;6855;12090,41;310;5477,7
420770 Ipumirim;7434;14581,02;11189;32628,27;3755;18047,25
420775 Iraceminha;1154;11712,71;1383;14034,27;229;2321,56
420785 Irati;5209;19707,15;5209;19707,15;0;0
420790 Irineópolis;14968;32494,66;14968;32494,66;0;0
420800 Itá;8379;22656,51;8791;24455,65;412;1799,14
420810 Itaiópolis;3937;24736,92;5996;44527,34;2059;19790,42
420820 Itajaí;227804;2676954,5;237136;2757009,22;9332;80054,72
420840 Itapiranga;21276;35690,94;21280;35690,94;4;0
420850 Ituporanga;22460;96168,45;27137;114729,68;4677;18561,23
420860 Jaborá;5181;19755,14;20444;108259,64;15263;88504,5
420880 Jaguaruna;1750;14799,29;2498;23197,53;748;8398,24
420890 Jaraguá do Sul;127337;1368665,39;127345;1361665,39;8;-7000
420895 Jardinópolis;1164;5742,38;1164;5742,38;0;0
420900 Joaçaba;49226;1293824,58;53115;1314517,06;3889;20692,48
420910 Joinville;552681;5763408,78;553825;5763408,78;1144;0
420915 José Boiteux;1342;6465,55;2066;12022,19;724;5556,64
420917 Jupiá;3531;8003,25;15205;65789,55;11674;57786,3
420930 Lages;193717;2125160,19;193717;2125160,19;0;0
420940 Laguna;20332;126023,27;20332;126023,27;0;0
420950 Laurentino;3711;730,48;4491;4575,88;780;3845,4
420960 Lauro Muller;4537;31093,55;6238;42249,2;1701;11155,65
420970 Lebon Régis;4560;31416,3;5775;43182,15;1215;11765,85
420985 Lindóia do Sul;997;6496,01;1055;7134,01;58;638
421000 Luiz Alves;7561;44460,3;7691;46339,32;130;1879,02
421005 Macieira;1493;-;1493;-;0;0
421010 Mafra;12057;369299,96;12072;369434,18;15;134,22
421040 Maracajá;6720;2943,08;6720;2943,08;0;0
421050 Maravilha;46612;145818,75;48892;166055,76;2280;20237,01
421055 Marema;2541;386,05;2541;386,05;0;0
421060 Massaranduba;15937;46141,94;15937;46141,94;0;0
421070 Matos Costa;1374;1929,29;1423;2468,29;49;539
421080 Meleiro;314;2790;386;3525,36;72;735,36
421085 Mirim Doce;2617;-;2617;-;0;0
421090 Modelo;1682;14974,92;2644;21331,11;962;6356,19
421100 Mondaí;8480;51434,55;8732;53090,77;252;1656,22
421105 Monte Carlo;50;-;50;-;0;0
421110 Monte Castelo;2809;19669,87;2843;19732,77;34;62,9
421120 Morro da Fumaça;2440;25072,41;2440;25072,41;0;0
421125 Morro Grande;3561;21;3823;21;262;0
421130 Navegantes;52986;286646,8;58337;329218,53;5351;42571,73
421140 Nova Erechim;397;6341,65;912;8956,67;515;2615,02
421160 Nova Veneza;5586;40201,25;6253;45049,45;667;4848,2
421170 Orleans;11842;61887,6;12062;62426,58;220;538,98
421175 Otacílio Costa;1072;9328,46;2534;24335,32;1462;15006,86
421185 Ouro Verde;1851;1875,38;1851;1875,38;0;0
421187 Paial;2299;2029,66;2299;2029,66;0;0
421190 Palhoça;97;-;97;-;0;0
421200 Palma Sola;4572;27652,83;7608;44982,52;3036;17329,69
421205 Palmeira;202;-;202;-;0;0
421210 Palmitos;4873;57599,41;9609;94180,92;4736;36581,51
421220 Papanduva;737;4460,72;1004;5740,72;267;1280
421223 Paraíso;363;8609,25;363;8609,25;0;0
421227 Passos Maia;5330;320,76;6874;6789,46;1544;6468,7
421250 Penha;19842;45542,47;22732;72259,04;2890;26716,57
421260 Peritiba;2428;4474,31;2761;5478,31;333;1004
421270 Petrolândia;5019;4137,3;5026;4214,3;7;77
421290 Pinhalzinho;2850;22933,57;2891;23097,31;41;163,74
421300 Pinheiro Preto;7660;2689,73;8033;4536,08;373;1846,35
421310 Piratuba;4879;13305,75;4907;13360,35;28;54,6
421315 Planalto Alegre;205;164,95;205;164,95;0;0
421320 Pomerode;34383;151814,72;39063;180847,33;4680;29032,61
421330 Ponte Alta;941;4235,79;941;4235,79;0;0
421335 Ponte Alta do Norte;414;1141,24;424;1161,64;10;20,4
421340 Ponte Serrada;8693;30140,91;15199;64577,47;6506;34436,56
421350 Porto Belo;6302;34740;6509;35963,27;207;1223,27
421360 Porto União;34987;394687,75;35389;402163,45;402;7475,7
421370 Pouso Redondo;6347;932,2;8648;12428,41;2301;11496,21
421380 Praia Grande;2491;28567,92;3794;31950,2;1303;3382,28
421400 Presidente Getúlio;5340;24912,92;8804;47623,74;3464;22710,82
421415 Princesa;1784;8484,8;1895;8850,97;111;366,17
421430 Rancho Queimado;30;-;30;-;0;0
421440 Rio das Antas;9811;16807,22;10149;18971,94;338;2164,72
421450 Rio do Campo;397;4439,31;690;5187,88;293;748,57
421460 Rio do Oeste;2999;973,98;6721;18258,07;3722;17284,09
421480 Rio do Sul;89310;789702,98;101217;908772,98;11907;119070
421470 Rio dos Cedros;425;3426,81;2545;17661,33;2120;14234,52
421490 Rio Fortuna;2253;12396,91;2961;16015,68;708;3618,77
421500 Rio Negrinho;30576;112921,52;30576;112921,52;0;0
421507 Riqueza;1530;9695,96;1530;9695,96;0;0
421520 Romelândia;2240;21309,19;2265;21355,44;25;46,25
421530 Salete;4990;4589;6920;18425,61;1930;13836,61
421535 Saltinho;2338;9693,93;2692;11625,71;354;1931,78
421540 Salto Veloso;93;1159,71;489;5620,08;396;4460,37
421545 Sangão;2091;8902,39;2161;9248,89;70;346,5
421555 Santa Helena;1080;280,78;1080;280,78;0;0
421568 Santa Terezinha do Progresso;1343;9936,09;1356;10013,71;13;77,62
421569 Santiago do Sul;631;5479,43;631;5479,43;0;0
421570 Santo Amaro da Imperatriz;16234;102662,99;16461;103674,51;227;1011,52
421580 São Bento do Sul;39145;456255,62;39145;456255,62;0;0
421590 São Bonifácio;671;7600,69;722;8436,69;51;836
421600 São Carlos;3153;31909,86;6308;47582,71;3155;15672,85
421610 São Domingos;27778;53163,68;29039;63225,64;1261;10061,96
421630 São João Batista;4306;32745,4;16987;106237,15;12681;73491,75
421635 São João do Itaperiú;2660;1231,14;2709;1445,99;49;214,85
421625 São João do Oeste;7572;18942,85;7732;19705,22;160;762,37
421650 São Joaquim;1747;20845,98;1952;23100,98;205;2255
421660 São José;120938;1387922,13;120943;1387929,53;5;7,4
421670 São José do Cedro;876;8805,25;876;8805,25;0;0
421690 São Lourenço do Oeste;26777;1033740,11;26815;1033864,07;38;123,96
421700 São Ludgero;8557;20693,12;9607;25836,04;1050;5142,92
421710 São Martinho;1118;4930,95;1486;9062,74;368;4131,79
421715 São Miguel da Boa Vista;802;12855,12;802;12855,12;0;0
421720 São Miguel do Oeste;59314;739231,73;62205;757842,53;2891;18610,8
421725 São Pedro de Alcântara;3090;32742,48;3090;32742,48;0;0
421730 Saudades;1172;8520,23;1337;10360,22;165;1839,99
421740 Schroeder;7963;13545,45;8279;15252,39;316;1706,94
421750 Seara;24012;73193,97;24060;73631,98;48;438,01
421755 Serra Alta;1151;4485,86;2907;14318,2;1756;9832,34
421760 Siderópolis;10924;28909,28;10936;28909,28;12;0
421770 Sombrio;2590;24059,66;3334;32225,99;744;8166,33
421775 Sul Brasil;605;5643,81;640;5838,83;35;195,02
421780 Taió;11726;66818,45;13432;75655,46;1706;8837,01
421790 Tangará;31;-;47;-;16;0
421795 Tigrinhos;726;3907,71;1748;8534,64;1022;4626,93
421800 Tijucas;19918;124790,6;23199;144586,21;3281;19795,61
421820 Timbó;35887;308706,37;42727;353254,05;6840;44547,68
421825 Timbó Grande;3568;2622,53;3568;2622,53;0;0
421830 Três Barras;9996;60212,98;10000;60238,33;4;25,35
421835 Treviso;3986;1045,9;4002;1061,9;16;16
421840 Treze de Maio;1146;11382,7;1146;11382,7;0;0
421860 Trombudo Central;2471;14160,13;7006;33121,78;4535;18961,65
421870 Tubarão;74582;1148759,34;298816;2907016,03;224234;1758256,69
421875 Tunápolis;2070;17546,71;2192;19047,11;122;1500,4
421880 Turvo;8599;5996,86;8708;6815,45;109;818,59
421885 União do Oeste;1668;12991,06;1668;12991,06;0;0
421890 Urubici;736;7577,28;736;7577,28;0;0
421910 Vargeão;6192;8437,49;6629;10683,76;437;2246,27
421917 Vargem Bonita;5698;16454,17;5868;17321,31;170;867,14
421920 Vidal Ramos;131;1373,14;436;3400,78;305;2027,64
421930 Videira;74386;402513,95;87421;480014,97;13035;77501,02
421935 Vitor Meireles;3585;3602,11;3585;3602,11;0;0
421940 Witmarsum;4587;22084,8;5789;28299,11;1202;6214,31
421950 Xanxerê;78833;546874,25;238398;3222023,15;159565;2675148,9
421960 Xavantina;247;2761,36;289;3064,08;42;302,72
421970 Xaxim;20535;69133,5;24460;95096,37;3925;25962,87
430003 Aceguá;1697;9923,15;1697;9923,15;0;0
430005 Água Santa;1357;3172,2;1357;3172,2;0;0
430010 Agudo;7426;75986,02;8046;78912,48;620;2926,46
430020 Ajuricaba;1099;23484,02;3154;43267,39;2055;19783,37
430030 Alecrim;1214;11946,01;3840;34054,88;2626;22108,87
430040 Alegrete;95489;383985,82;128898;413573,54;33409;29587,72
430045 Alegria;758;12076,67;874;14126,39;116;2049,72
430050 Alpestre;1067;15683,68;1141;16157,8;74;474,12
430055 Alto Alegre;792;2272,9;792;2272,9;0;0
430060 Alvorada;73861;821725,47;83459;893339,32;9598;71613,85
430063 Amaral Ferrador;871;6191,3;1015;7631,3;144;1440
430064 Ametista do Sul;1976;17267,54;3414;28896,52;1438;11628,98
430070 Anta Gorda;718;2735,54;720;2759,22;2;23,68
430080 Antônio Prado;9412;54054,67;9412;54054,67;0;0
430087 Araricá;3322;34072,15;3756;40740,89;434;6668,74
430090 Aratiba;14290;155878,06;16685;181749,13;2395;25871,07
430100 Arroio do Meio;10065;84215,25;10786;94495,35;721;10280,1
430107 Arroio do Padre;462;2605,12;462;2605,12;0;0
430105 Arroio do Sal;19179;84403,28;24359;128861,5;5180;44458,22
430120 Arroio do Tigre;3262;15051,29;3325;17847,79;63;2796,5
430110 Arroio dos Ratos;7555;46551,18;10828;69318,58;3273;22767,4
430130 Arroio Grande;15503;62828,87;15591;62828,87;88;0
430140 Arvorezinha;1559;11432,7;1559;11432,7;0;0
430150 Augusto Pestana;6363;19792,05;6602;23196,87;239;3404,82
430155 Áurea;2414;-;2414;-;0;0
430160 Bagé;200460;1586609,16;211087;1627775,2;10627;41166,04
430163 Balneário Pinhal;12599;80740,96;12603;80763,44;4;22,48
430165 Barão;4588;34316,55;5473;41359,68;885;7043,13
430175 Barão do Triunfo;645;-;645;-;0;0
430190 Barra do Ribeiro;7147;34302,4;8758;44527,13;1611;10224,73
430192 Barra do Rio Azul;56;263,2;56;263,2;0;0
430180 Barracão;1639;12718,14;1639;12718,14;0;0
430210 Bento Gonçalves;168429;1149117,17;173437;1178084,57;5008;28967,4
430220 Boa Vista do Buricá;5281;26245,84;6464;33202,61;1183;6956,77
430222 Boa Vista do Cadeado;249;308,7;354;308,7;105;0
430225 Boa Vista do Sul;108;-;108;-;0;0
430235 Bom Princípio;23286;74764,26;23286;74764,26;0;0
430240 Bom Retiro do Sul;7343;46911,84;7746;51693,74;403;4781,9
430250 Bossoroca;2124;10254,63;2318;10786,43;194;531,8
430260 Braga;354;3875,8;354;3875,8;0;0
430265 Brochier;397;3417,55;1813;13865,35;1416;10447,8
430270 Butiá;5491;33689,55;5902;36209,41;411;2519,86
430280 Caçapava do Sul;24869;116631,34;34526;170817,75;9657;54186,41
430290 Cacequi;5990;31373,79;6217;34459,63;227;3085,84
430300 Cachoeira do Sul;166141;1081101,49;178360;1082011,67;12219;910,18
430310 Cachoeirinha;91898;649689,12;100399;700794,63;8501;51105,51
430320 Cacique Doble;3540;8071,57;4102;12777,77;562;4706,2
430330 Caibaté;1318;5580,99;1817;8550,42;499;2969,43
430340 Caiçara;300;1890;303;1908,9;3;18,9
430350 Camaquã;90846;865245,12;96310;894588,82;5464;29343,7
430355 Camargo;1003;3294,61;1003;3294,61;0;0
430360 Cambará do Sul;8386;21440,63;8473;22059,89;87;619,26
430367 Campestre da Serra;244;873,42;244;873,42;0;0
430370 Campina das Missões;2174;18810,14;2518;22701,83;344;3891,69
430380 Campinas do Sul;4680;18732,42;4770;19144,21;90;411,79
430390 Campo Bom;77815;444420,47;93798;545568,24;15983;101147,77
430400 Campo Novo;1098;3663,52;2151;12021,78;1053;8358,26
430420 Candelária;29064;99050,12;29403;100686,08;339;1635,96
430430 Cândido Godói;1628;15514,17;2156;20078,36;528;4564,19
430435 Candiota;2963;26110,52;2963;26110,52;0;0
430440 Canela;35302;282472,51;35302;282472,51;0;0
430450 Canguçu;28094;221426,01;28110;222146,01;16;720
430460 Canoas;358867;3805363,63;358874;3805521,48;7;157,85
430461 Canudos do Vale;36;3000;36;3000;0;0
430463 Capão da Canoa;42441;386975,3;47404;435183,6;4963;48208,3
430465 Capão do Cipó;147;3657,33;147;3657,33;0;0
430466 Capão do Leão;17502;85713,99;17787;85998,96;285;284,97
430468 Capela de Santana;1506;6086,27;1506;6086,27;0;0
430469 Capitão;3245;-;3245;-;0;0
430467 Capivari do Sul;7240;19145,25;7303;19649,25;63;504
430471 Caraá;2334;11454,21;2365;11737,65;31;283,44
430470 Carazinho;47678;731904,09;47789;732494,09;111;590
430490 Casca;6972;50919,81;6972;50919,81;0;0
430500 Catuípe;3483;23472,93;3483;23472,93;0;0
430510 Caxias do Sul;738527;4996750,07;847256;4996750,07;108729;0
430511 Centenário;692;2094,02;723;2238,79;31;144,77
430512 Cerrito;164;1167,38;164;1167,38;0;0
430513 Cerro Branco;607;2555,4;607;2555,4;0;0
430515 Cerro Grande;2113;1672,67;2127;1710,89;14;38,22
430520 Cerro Largo;3352;17195,61;4903;31099,92;1551;13904,31
430530 Chapada;3588;18080,58;3798;19446,98;210;1366,4
430535 Charqueadas;9103;42579,9;10044;45384,54;941;2804,64
430540 Chiapetta;1046;3116,36;3065;15030,57;2019;11914,21
430543 Chuí;903;3533,5;903;3533,5;0;0
430544 Chuvisca;315;2266,25;315;2266,25;0;0
430545 Cidreira;16007;104684,26;22497;148376,89;6490;43692,63
430550 Ciríaco;2107;12527,69;2107;12527,69;0;0
430560 Colorado;342;1533,18;342;1533,18;0;0
430570 Condor;226;1245,32;2203;19149,24;1977;17903,92
430580 Constantina;4531;33910,96;4531;33910,96;0;0
430583 Coqueiro Baixo;273;-;273;-;0;0
430585 Coqueiros do Sul;2325;10943,34;2325;10943,34;0;0
430590 Coronel Bicaco;526;4718,09;526;4718,09;0;0
430597 Coxilha;11;-;11;-;0;0
430600 Crissiumal;3491;28363,87;3491;28363,87;0;0
430605 Cristal;5643;14647,54;5652;14698,12;9;50,58
430610 Cruz Alta;70144;540923,37;93091;555105,09;22947;14181,72
430613 Cruzaltense;835;-;835;-;0;0
430630 David Canabarro;2664;23570,69;3173;27312,73;509;3742,04
430632 Derrubadas;926;630;926;630;0;0
430635 Dezesseis de Novembro;82;-;82;-;0;0
430640 Dois Irmãos;24996;99059,5;28330;138281,1;3334;39221,6
430645 Dois Lajeados;938;2725,53;1001;3342,78;63;617,25
430650 Dom Feliciano;13536;51917,68;16475;76683,98;2939;24766,3
430660 Dom Pedrito;30671;211888;36024;245106,32;5353;33218,32
430670 Dona Francisca;11;-;11;-;0;0
430673 Doutor Maurício Cardoso;1766;7798,63;1881;9248,44;115;1449,81
430675 Doutor Ricardo;51;3000;51;3000;0;0
430676 Eldorado do Sul;4228;19181,71;7747;57793,75;3519;38612,04
430690 Encruzilhada do Sul;13328;91546,25;21473;131557,36;8145;40011,11
430695 Entre Rios do Sul;658;2646,18;1153;5047,19;495;2401,01
430693 Entre-Ijuís;2811;9382,66;2872;9715,64;61;332,98
430700 Erechim;260029;2007025,28;281145;2027497,11;21116;20471,83
430705 Ernestina;587;2634,35;587;2634,35;0;0
430720 Erval Grande;2770;17230,25;3531;26411,98;761;9181,73
430730 Erval Seco;572;8086,45;597;8398,2;25;311,75
430745 Esperança do Sul;178;-;178;-;0;0
430750 Espumoso;6406;77870,44;6406;77870,44;0;0
430755 Estação;866;3639,9;891;3971,57;25;331,67
430760 Estância Velha;25729;147000,37;30189;183733,48;4460;36733,11
430770 Esteio;79054;563683,29;79923;583025,52;869;19342,23
430780 Estrela;38101;144199,2;38241;144215,2;140;16
430781 Estrela Velha;1510;4735,71;1510;4735,71;0;0
430783 Eugênio de Castro;59;3300;59;3300;0;0
430786 Fagundes Varela;93;-;93;-;0;0
430800 Faxinal do Soturno;25157;376398,28;29152;547654,93;3995;171256,65
430807 Fazenda Vilanova;90;3300;90;3300;0;0
430810 Feliz;7142;42498,27;7142;42498,27;0;0
430820 Flores da Cunha;13080;100983,71;13080;100983,71;0;0
430830 Fontoura Xavier;2425;12161,47;2425;12161,47;0;0
430840 Formigueiro;2024;15318,56;2349;16063,62;325;745,06
430843 Forquetinha;2379;5569;2379;5569;0;0
430845 Fortaleza dos Valos;2208;7550,7;2251;8023,7;43;473
430850 Frederico Westphalen;101806;542855,6;127363;550926,44;25557;8070,84
430860 Garibaldi;27575;98898,05;27628;99834,56;53;936,51
430865 Garruchos;400;1770,05;400;1770,05;0;0
430870 Gaurama;175;1309,45;267;1739,09;92;429,64
430880 General Câmara;6020;10783,85;6057;11926,75;37;1142,9
430885 Gentil;540;234,24;540;234,24;0;0
430890 Getúlio Vargas;15244;154172,96;15510;160156,41;266;5983,45
430905 Glorinha;6587;25225,17;6700;26155,57;113;930,4
430910 Gramado;39182;191464,52;39184;191495,92;2;31,4
430912 Gramado dos Loureiros;21;3150;21;3150;0;0
430915 Gramado Xavier;4007;-;4007;-;0;0
430920 Gravataí;160585;1461453,04;169688;1462436,67;9103;983,63
430925 Guabiju;600;-;600;-;0;0
430930 Guaíba;38818;281080,92;39076;283322,26;258;2241,34
430940 Guaporé;29572;72401,99;33154;100910,4;3582;28508,41
430950 Guarani das Missões;4612;14646,62;5135;20702,13;523;6055,51
430955 Harmonia;1994;11056,93;2257;14696,71;263;3639,78
430710 Herval;2181;18606,86;2181;18606,86;0;0
430957 Herveiras;2421;-;2421;-;0;0
430960 Horizontina;17580;33912;19403;52588,95;1823;18676,95
430970 Humaitá;194;1586,61;1375;4022,94;1181;2436,33
430975 Ibarama;830;2654,57;866;2795,48;36;140,91
430980 Ibiaçá;1603;-;1603;-;0;0
430990 Ibiraiaras;3465;9850,69;3817;13374,37;352;3523,68
430995 Ibirapuitã;76;662,67;76;662,67;0;0
431000 Ibirubá;17123;126825,5;19286;143437,1;2163;16611,6
431010 Igrejinha;42705;412072,8;48066;454509,05;5361;42436,25
431020 Ijuí;219410;2915157,26;230970;2922085,2;11560;6927,94
431030 Ilópolis;5639;7037,97;5639;7037,97;0;0
431033 Imbé;25566;98297,81;32133;159753,04;6567;61455,23
431040 Independência;1710;7920,82;1728;8238,88;18;318,06
431041 Inhacorá;133;-;133;-;0;0
431050 Iraí;2052;12610,63;2280;15201,88;228;2591,25
431053 Itaara;2655;1837,75;2655;1837,75;0;0
431060 Itaqui;20533;175582,99;25159;220899,74;4626;45316,75
431065 Itati;492;6041,83;492;6041,83;0;0
431070 Itatiba do Sul;2030;5675,63;2404;8087,08;374;2411,45
431075 Ivorá;761;5959,7;1101;7257,05;340;1297,35
431080 Ivoti;31606;134971,82;32867;142716,39;1261;7744,57
431085 Jaboticaba;6262;42703,41;6262;42703,41;0;0
431090 Jacutinga;51;730,91;51;730,91;0;0
